artifact_row_index,source_id,city,district,support,tier,address_text
167344,7262280,casablanca,city dar es salaam,12,SAFE_10,City Dar Es Salaam à Casablanca
167346,7262599,casablanca,belvedere,301,SAFE_25,Belvédère à Casablanca
167351,7264356,rabat,hassan centre ville,119,SAFE_25,Hassan - Centre Ville à Rabat
167352,7265199,bouznika,al kawtar,71,SAFE_25,Al Kawtar à Bouznika
167354,7265620,casablanca,beausite,41,SAFE_25,Beausite à Casablanca
167363,7267850,casablanca,belvedere,301,SAFE_25,Belvédère à Casablanca
167373,7269840,casablanca,maarif extension,351,SAFE_25,Maârif Extension à Casablanca
167375,7269935,marrakech,mhamid,253,SAFE_25,Mhamid à Marrakech
167380,7271072,casablanca,bernoussi,99,SAFE_25,Bernoussi à Casablanca
167382,7271339,casablanca,oulfa,409,SAFE_25,Oulfa à Casablanca
167384,7271447,marrakech,mhamid,253,SAFE_25,Mhamid à Marrakech
167386,7271486,casablanca,beausejour,150,SAFE_25,Beauséjour à Casablanca
167390,7271909,mohammedia,al aalia,51,SAFE_25,Al Aalia à Mohammedia
167392,7272935,tanger,hay hassani,92,SAFE_25,Hay Hassani à Tanger
167394,7273463,casablanca,maarif,326,SAFE_25,Maârif à Casablanca
167401,7275087,casablanca,les hopitaux,385,SAFE_25,Les Hôpitaux à Casablanca
167404,7276438,casablanca,hay mohammadi,65,SAFE_25,Hay Mohammadi à Casablanca
167419,7277614,marrakech,mhamid,253,SAFE_25,Mhamid à Marrakech
167420,7278481,agadir,secteur touristique,92,SAFE_25,Secteur Touristique à Agadir
167425,7278907,casablanca,anfa,374,SAFE_25,Anfa à Casablanca
167427,7279055,tanger,mesnana,96,SAFE_25,Mesnana à Tanger
167433,7280398,casablanca,oulfa,409,SAFE_25,Oulfa à Casablanca
167442,7282555,marrakech,hivernage,273,SAFE_25,Hivernage à Marrakech
167447,7283164,casablanca,bourgogne ouest,380,SAFE_25,Bourgogne Ouest à Casablanca
167450,7283780,mohammedia,quartier du parc,79,SAFE_25,Quartier du Parc à Mohammedia
167453,7284085,casablanca,nassim 1,64,SAFE_25,Nassim 1 à Casablanca
167454,7284174,casablanca,triangle d or,142,SAFE_25,Triangle d'Or à Casablanca
167455,7284320,meknes,marjane,146,SAFE_25,Marjane à Meknes
167459,7286598,casablanca,les princesses,332,SAFE_25,Les princesses à Casablanca
167462,7286800,temara,abbadi,25,SAFE_25,Abbadi à Temara
167463,7287102,casablanca,californie,735,SAFE_25,Californie à Casablanca
167465,7287187,casablanca,roches noires,198,SAFE_25,Roches Noires à Casablanca
167466,7287239,casablanca,racine,596,SAFE_25,Racine à Casablanca
167469,7287720,safi,safi 2,2,LOW,Safi 2 à Safi
167471,7288080,tanger,tanger city center,86,SAFE_25,Tanger City Center à Tanger
167476,7288953,rabat,riyad,566,SAFE_25,Riyad à Rabat
167478,7290233,casablanca,quartier bachkou,69,SAFE_25,Quartier Bachkou à Casablanca
167482,7290642,sale,ouled moussa,10,SAFE_10,Ouled Moussa à Salé
167484,7290757,marrakech,hivernage,273,SAFE_25,Hivernage à Marrakech
167487,7291282,casablanca,sidi maarouf,518,SAFE_25,Sidi Maarouf à Casablanca
167488,7291589,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
167490,7292313,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
167491,7292559,casablanca,racine,596,SAFE_25,Racine à Casablanca
167494,7293022,casablanca,hay chrifa,49,SAFE_25,Hay Chrifa à Casablanca
167498,7293782,casablanca,ain diab extension,188,SAFE_25,Ain Diab Extension à Casablanca
167500,7294376,marrakech,agdal,514,SAFE_25,Agdal à Marrakech
167502,7294707,casablanca,californie,735,SAFE_25,Californie à Casablanca
167503,7294710,casablanca,californie,735,SAFE_25,Californie à Casablanca
167504,7294712,casablanca,californie,735,SAFE_25,Californie à Casablanca
167505,7294769,tanger,rmilat,41,SAFE_25,Rmilat à Tanger
167506,7294991,bouznika,al kawtar,71,SAFE_25,Al Kawtar à Bouznika
167508,7295417,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
167510,7295967,kenitra,maamora,58,SAFE_25,Maamora à Kénitra
167534,7301090,tanger,tanja balia,220,SAFE_25,Tanja Balia à Tanger
167535,7301095,tanger,tanja balia,220,SAFE_25,Tanja Balia à Tanger
167536,7301098,tanger,tanja balia,220,SAFE_25,Tanja Balia à Tanger
167537,7301099,tanger,tanja balia,220,SAFE_25,Tanja Balia à Tanger
167540,7301674,mohammedia,riad 1,7,SAFE_5,Riad 1 à Mohammedia
167541,7301777,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
167544,7301884,mohammedia,quartier du parc,79,SAFE_25,Quartier du Parc à Mohammedia
167545,7302139,meknes,el manar,2,LOW,El manar à Meknes
167546,7302177,marrakech,hivernage,273,SAFE_25,Hivernage à Marrakech
167548,7302494,rabat,hay al massira,9,SAFE_5,Hay Al Massira à Rabat
167550,7302574,marrakech,agdal,514,SAFE_25,Agdal à Marrakech
167551,7302613,marrakech,agdal,514,SAFE_25,Agdal à Marrakech
167555,7303007,temara,al moustakbal,9,SAFE_5,Al Moustakbal à Temara
167556,7303127,casablanca,maarif,326,SAFE_25,Maârif à Casablanca
167560,7303250,temara,massira 2,27,SAFE_25,Massira 2 à Temara
167562,7303566,mohammedia,wafa,25,SAFE_25,Wafa à Mohammedia
167563,7303610,mohammedia,wafa,25,SAFE_25,Wafa à Mohammedia
167564,7303615,mohammedia,wafa,25,SAFE_25,Wafa à Mohammedia
167566,7303656,fes,zouagha,21,SAFE_10,Zouagha à Fès
167570,7304260,tanger,castilla,76,SAFE_25,Castilla à Tanger
167571,7304338,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
167572,7304374,temara,wifak,121,SAFE_25,Wifak à Temara
167573,7304454,meknes,marjane,146,SAFE_25,Marjane à Meknes
167578,7305525,marrakech,les portes de marrakech,94,SAFE_25,Les Portes de Marrakech à Marrakech
167579,7305584,bouznika,hamza,21,SAFE_10,Hamza à Bouznika
167581,7306392,casablanca,racine,596,SAFE_25,Racine à Casablanca
167583,7306895,bouznika,plage oued cherrat,118,SAFE_25,Plage Oued Cherrat à Bouznika
167589,7307732,casablanca,bourgogne est,157,SAFE_25,Bourgogne Est à Casablanca
167597,7310244,rabat,riyad,566,SAFE_25,Riyad à Rabat
167600,7310737,fes,hay annassim,1,LOW,Hay Annassim à Fès
167602,7311782,marrakech,route casablanca,269,SAFE_25,Route Casablanca à Marrakech
167606,7312488,casablanca,cil hay salam,225,SAFE_25,CIL (Hay Salam) à Casablanca
167611,7313218,casablanca,californie,735,SAFE_25,Californie à Casablanca
167612,7313553,fes,route immouzer,38,SAFE_25,Route Immouzer à Fès
167615,7313638,tanger,iberie,173,SAFE_25,Iberie à Tanger
167617,7313841,marrakech,hivernage,273,SAFE_25,Hivernage à Marrakech
167634,7318432,tanger,tanger city center,86,SAFE_25,Tanger City Center à Tanger
167640,7319585,agadir,hay houda,65,SAFE_25,Hay Houda à Agadir
167643,7320136,casablanca,sour jdid,3,LOW,Sour Jdid à Casablanca
167653,7323096,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
167655,7323416,casablanca,gauthier,422,SAFE_25,Gauthier à Casablanca
167657,7323608,kenitra,bir rami est,42,SAFE_25,Bir Rami Est à Kénitra
167658,7323624,mohammedia,quartier du parc,79,SAFE_25,Quartier du Parc à Mohammedia
167660,7323906,agadir,amsernate,6,SAFE_5,Amsernate à Agadir
167663,7324226,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
167665,7324315,casablanca,lissasfa,104,SAFE_25,Lissasfa à Casablanca
167666,7324334,casablanca,bourgogne ouest,380,SAFE_25,Bourgogne Ouest à Casablanca
167667,7324450,rabat,riyad,566,SAFE_25,Riyad à Rabat
167672,7325160,tanger,hanaa 1,4,LOW,Hanaa 1 à Tanger
167673,7325232,casablanca,al azhar,21,SAFE_10,Al Azhar à Casablanca
167679,7325968,casablanca,derb ghalef,98,SAFE_25,Derb Ghalef à Casablanca
167682,7326764,sale,hay chmaou,56,SAFE_25,Hay Chmaou à Salé
167683,7326796,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
167686,7327036,casablanca,les princesses,332,SAFE_25,Les princesses à Casablanca
167692,7328524,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
167694,7328722,casablanca,hermitage,63,SAFE_25,Hermitage à Casablanca
167695,7328742,rabat,riyad,566,SAFE_25,Riyad à Rabat
167696,7328898,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
167698,7329130,rabat,riyad,566,SAFE_25,Riyad à Rabat
167704,7330465,rabat,souissi,566,SAFE_25,Souissi à Rabat
167706,7331090,casablanca,casablanca finance city,208,SAFE_25,Casablanca Finance City à Casablanca
167707,7331510,casablanca,hay mohammadi,65,SAFE_25,Hay Mohammadi à Casablanca
167710,7332036,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
167711,7332106,fes,mont fleuri,13,SAFE_10,Mont Fleuri à Fès
167715,7332412,oujda,grand boulevard ahfir,10,SAFE_10,Grand boulevard Ahfir à Oujda
167716,7332949,fes,narjis,23,SAFE_10,Narjis à Fès
167717,7333096,casablanca,oulfa,409,SAFE_25,Oulfa à Casablanca
167719,7333242,casablanca,hay moulay abdellah,30,SAFE_25,Hay Moulay Abdellah à Casablanca
167731,7336281,casablanca,oasis sud,25,SAFE_25,Oasis sud à Casablanca
167737,7337423,marrakech,samlalia,132,SAFE_25,Samlalia à Marrakech
167738,7338660,casablanca,bourgogne ouest,380,SAFE_25,Bourgogne Ouest à Casablanca
167740,7338811,casablanca,les princesses,332,SAFE_25,Les princesses à Casablanca
167746,7339985,bouznika,hamza,21,SAFE_10,Hamza à Bouznika
167747,7340019,fes,quartier oued fes,34,SAFE_25,Quartier Oued Fes à Fès
167748,7341009,tanger,de la plage,188,SAFE_25,De La Plage à Tanger
167752,7341454,mohammedia,wafa,25,SAFE_25,Wafa à Mohammedia
167754,7342292,casablanca,oulfa,409,SAFE_25,Oulfa à Casablanca
167757,7342907,casablanca,bourgogne ouest,380,SAFE_25,Bourgogne Ouest à Casablanca
167758,7343144,casablanca,bourgogne ouest,380,SAFE_25,Bourgogne Ouest à Casablanca
167761,7343967,casablanca,al qods,132,SAFE_25,Al Qods à Casablanca
167762,7344071,kenitra,mimosas,57,SAFE_25,Mimosas à Kénitra
167765,7345465,casablanca,bourgogne ouest,380,SAFE_25,Bourgogne Ouest à Casablanca
167771,7346412,casablanca,belvedere,301,SAFE_25,Belvédère à Casablanca
167773,7348120,casablanca,maarif,326,SAFE_25,Maârif à Casablanca
167777,7348803,marrakech,route de fez,469,SAFE_25,Route de Fez à Marrakech
167779,7349572,casablanca,les hopitaux,385,SAFE_25,Les Hôpitaux à Casablanca
167780,7350113,mohammedia,nassim,37,SAFE_25,Nassim à Mohammedia
167781,7350242,fes,route ain chkaf,51,SAFE_25,Route ain Chkaf à Fès
167783,7350942,agadir,hay mohammadi,183,SAFE_25,Hay Mohammadi à Agadir
167785,7351354,casablanca,ain diab,457,SAFE_25,Ain Diab à Casablanca
167786,7351408,sale,tabriquet,37,SAFE_25,Tabriquet à Salé
167789,7352181,rabat,riyad,566,SAFE_25,Riyad à Rabat
167790,7352359,temara,skikina,28,SAFE_25,Skikina à Temara
167793,7352946,casablanca,gauthier,422,SAFE_25,Gauthier à Casablanca
167796,7353059,casablanca,palmier,340,SAFE_25,Palmier à Casablanca
167797,7353918,casablanca,les hopitaux,385,SAFE_25,Les Hôpitaux à Casablanca
167801,7354826,sale,ghrablia,2,LOW,Ghrablia à Salé
167806,7355711,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
