city,district,support,city_equals_district,generic_risk,tier
ait m hamed,ait m hamed,1,1,0,LOW_OR_RISK
ait oum el bekht,ait oum el bekht,1,1,0,LOW_OR_RISK
ait said,ait said,1,1,0,LOW_OR_RISK
ait sebaa lajrouf,ait sebaa lajrouf,1,1,0,LOW_OR_RISK
ait siberne,ait siberne,1,1,0,LOW_OR_RISK
ait sidi daoud,ait sidi daoud,1,1,0,LOW_OR_RISK
al bahraoyine,al bahraoyine,1,1,0,LOW_OR_RISK
alouidane,alouidane,1,1,0,LOW_OR_RISK
amskroud,amskroud,1,1,0,LOW_OR_RISK
aoulouz,aoulouz,1,1,0,LOW_OR_RISK
arekmane,arekmane,1,1,0,LOW_OR_RISK
asrir,asrir,1,1,0,LOW_OR_RISK
assahrij,assahrij,1,1,0,LOW_OR_RISK
assif el mal,assif el mal,1,1,0,LOW_OR_RISK
ayacha,ayacha,1,1,0,LOW_OR_RISK
ayir,ayir,1,1,0,LOW_OR_RISK
azlaf,azlaf,1,1,0,LOW_OR_RISK
ben smim,ben smim,1,1,0,LOW_OR_RISK
benslimane,hay al mohammadi,1,0,0,LOW_OR_RISK
benslimane,industriel,1,0,0,LOW_OR_RISK
benslimane,quartier soufal,1,0,0,LOW_OR_RISK
bghaghza,bghaghza,1,1,0,LOW_OR_RISK
bir anzarane,bir anzarane,1,1,0,LOW_OR_RISK
bir ennasr,bir ennasr,1,1,0,LOW_OR_RISK
bir tam tam,bir tam tam,1,1,0,LOW_OR_RISK
bitit,bitit,1,1,0,LOW_OR_RISK
bni ayat,bni ayat,1,1,0,LOW_OR_RISK
bni bouayach,bni bouayach,1,1,0,LOW_OR_RISK
bni ftah,bni ftah,1,1,0,LOW_OR_RISK
bni hilal,bni hilal,1,1,0,LOW_OR_RISK
bni rzine,bni rzine,1,1,0,LOW_OR_RISK
bni sidel louta,bni sidel louta,1,1,0,LOW_OR_RISK
bouarfa,bouarfa,1,1,0,LOW_OR_RISK
bouchane,bouchane,1,1,0,LOW_OR_RISK
boudnib,boudnib,1,1,0,LOW_OR_RISK
boughriba,boughriba,1,1,0,LOW_OR_RISK
bouguargouh,bouguargouh,1,1,0,LOW_OR_RISK
boujniba,boujniba,1,1,0,LOW_OR_RISK
boulemane,boulemane,1,1,0,LOW_OR_RISK
bouskoura,californie,1,0,0,LOW_OR_RISK
bouzemmour,bouzemmour,1,1,0,LOW_OR_RISK
casablanca,2 mars,1,0,0,LOW_OR_RISK
casablanca,al ahd al jadid,1,0,0,LOW_OR_RISK
casablanca,artisanat,1,0,0,LOW_OR_RISK
casablanca,beni mellal,1,0,0,LOW_OR_RISK
casablanca,berrechid,1,0,0,LOW_OR_RISK
casablanca,bourgogne,1,0,0,LOW_OR_RISK
casablanca,bouskoura,1,0,0,LOW_OR_RISK
casablanca,derb abdellah,1,0,0,LOW_OR_RISK
casablanca,derb al youssofia,1,0,0,LOW_OR_RISK
casablanca,derb tolba,1,0,0,LOW_OR_RISK
casablanca,ferme bretonne,1,0,0,LOW_OR_RISK
casablanca,florida mandarona,1,0,0,LOW_OR_RISK
casablanca,hay al othmania,1,0,0,LOW_OR_RISK
casablanca,hay al qods,1,0,0,LOW_OR_RISK
casablanca,hay alhoda,1,0,0,LOW_OR_RISK
casablanca,hay almassira 1,1,0,0,LOW_OR_RISK
casablanca,hay almassira 3,1,0,0,LOW_OR_RISK
casablanca,hay assafaa,1,0,0,LOW_OR_RISK
casablanca,hay laayoune,1,0,0,LOW_OR_RISK
casablanca,hay lalla meriem,1,0,0,LOW_OR_RISK
casablanca,hay lamiaa,1,0,0,LOW_OR_RISK
casablanca,hay mansour,1,0,0,LOW_OR_RISK
casablanca,hay moulay rachid 3,1,0,0,LOW_OR_RISK
casablanca,hay moulay rachid 5,1,0,0,LOW_OR_RISK
casablanca,hay moulay rachid 6,1,0,0,LOW_OR_RISK
casablanca,hay tissir,1,0,0,LOW_OR_RISK
casablanca,longchamps hay al han c3 a2a,1,0,0,LOW_OR_RISK
casablanca,m diq,1,0,0,LOW_OR_RISK
casablanca,massira,1,0,0,LOW_OR_RISK
casablanca,miamar,1,0,0,LOW_OR_RISK
casablanca,nouaceur,1,0,0,LOW_OR_RISK
casablanca,ourika,1,0,0,LOW_OR_RISK
casablanca,quartier cheminots,1,0,0,LOW_OR_RISK
casablanca,salmia 1,1,0,0,LOW_OR_RISK
casablanca,sidi yahya zaer,1,0,0,LOW_OR_RISK
casablanca,taghazout,1,0,0,LOW_OR_RISK
casablanca,vermont,1,0,0,LOW_OR_RISK
casablanca,zenata,1,0,0,LOW_OR_RISK
chaibate,chaibate,1,1,0,LOW_OR_RISK
dakhla,al ghoufrane,1,0,0,LOW_OR_RISK
dakhla,rahma,1,0,0,LOW_OR_RISK
dar chaoui,dar chaoui,1,1,0,LOW_OR_RISK
demnate,demnate,1,1,0,LOW_OR_RISK
dkhissa,dkhissa,1,1,0,LOW_OR_RISK
echemmaia,echemmaia,1,1,0,LOW_OR_RISK
el borouj,el borouj,1,1,0,LOW_OR_RISK
el faid,el faid,1,1,0,LOW_OR_RISK
el gantour,el gantour,1,1,0,LOW_OR_RISK
el jadida,achakar,1,0,0,LOW_OR_RISK
el jadida,el jadida,1,1,0,LOW_OR_RISK
el jadida,hay nassim,1,0,0,LOW_OR_RISK
el jadida,lot rida,1,0,0,LOW_OR_RISK
el jadida,sala el jadida,1,0,0,LOW_OR_RISK
el ksiba,el ksiba,1,1,0,LOW_OR_RISK
essaouira,ahl agadir,1,0,0,LOW_OR_RISK
essaouira,bab al bahar,1,0,0,LOW_OR_RISK
essaouira,bab sbaa,1,0,0,LOW_OR_RISK
essaouira,chbanat,1,0,0,LOW_OR_RISK
essaouira,skala,1,0,0,LOW_OR_RISK
essaouira,tidzi,1,0,0,LOW_OR_RISK
ezzhiliga,ezzhiliga,1,1,0,LOW_OR_RISK
f c3 a8s,champ de course,1,0,0,LOW_OR_RISK
f c3 a8s,fes jdid,1,0,0,LOW_OR_RISK
f c3 a8s,hay badr,1,0,0,LOW_OR_RISK
f c3 a8s,hay lalla soukaina,1,0,0,LOW_OR_RISK
f c3 a8s,l habitat,1,0,0,LOW_OR_RISK
f c3 a8s,saada,1,0,0,LOW_OR_RISK
f c3 a8s,talaa,1,0,0,LOW_OR_RISK
fes,ain haroun,1,0,0,LOW_OR_RISK
fes,ain johra,1,0,0,LOW_OR_RISK
fes,al farah,1,0,0,LOW_OR_RISK
fes,asilah,1,0,0,LOW_OR_RISK
fes,bad boujloud,1,0,0,LOW_OR_RISK
fes,batha,1,0,0,LOW_OR_RISK
fes,ben debbab,1,0,0,LOW_OR_RISK
fes,ben zakour,1,0,0,LOW_OR_RISK
fes,champs de course,1,0,0,LOW_OR_RISK
fes,dhar mehraz,1,0,0,LOW_OR_RISK
fes,dokkarat,1,0,0,LOW_OR_RISK
fes,dunes 2,1,0,0,LOW_OR_RISK
fes,el keddan,1,0,0,LOW_OR_RISK
fes,fes,1,1,0,LOW_OR_RISK
fes,fnideq,1,0,0,LOW_OR_RISK
fes,hamria,1,0,0,LOW_OR_RISK
fes,hay al qods,1,0,0,LOW_OR_RISK
fes,hay anas,1,0,0,LOW_OR_RISK
fes,hay annassim,1,0,0,LOW_OR_RISK
fes,hay gryou,1,0,0,LOW_OR_RISK
fes,hay hassani,1,0,0,LOW_OR_RISK
fes,hay jdid,1,0,0,LOW_OR_RISK
fes,hay massira,1,0,0,LOW_OR_RISK
fes,hay raha,1,0,0,LOW_OR_RISK
fes,laayoun,1,0,0,LOW_OR_RISK
fes,lido,1,0,0,LOW_OR_RISK
fes,medina,1,0,1,LOW_OR_RISK
fes,mellah,1,0,0,LOW_OR_RISK
fes,mimosa,1,0,0,LOW_OR_RISK
fes,mourabitine,1,0,0,LOW_OR_RISK
fes,rachidya,1,0,0,LOW_OR_RISK
fes,rahbet zbib,1,0,0,LOW_OR_RISK
fes,route de ain chkef,1,0,0,LOW_OR_RISK
fes,sehrij gnawa,1,0,0,LOW_OR_RISK
fes,sidi brahim,1,0,0,LOW_OR_RISK
fes,zone industrielle bensouda,1,0,0,LOW_OR_RISK
fes,zone industrielle sidi brahim,1,0,0,LOW_OR_RISK
foum oudi,foum oudi,1,1,0,LOW_OR_RISK
ghiata al gharbia,ghiata al gharbia,1,1,0,LOW_OR_RISK
gmassa,route d agadir essaouira,1,0,0,LOW_OR_RISK
guigou,guigou,1,1,0,LOW_OR_RISK
haj kaddour,haj kaddour,1,1,0,LOW_OR_RISK
iaazzanene,iaazzanene,1,1,0,LOW_OR_RISK
ifrane,public camping,1,0,0,LOW_OR_RISK
ihaddadene,ihaddadene,1,1,0,LOW_OR_RISK
inchaden,inchaden,1,1,0,LOW_OR_RISK
jemaa shaim,jemaa shaim,1,1,0,LOW_OR_RISK
jorf el melha,jorf el melha,1,1,0,LOW_OR_RISK
k c3 a9nitra,maghrib arabi,1,0,0,LOW_OR_RISK
karia ba mohamed,karia ba mohamed,1,1,0,LOW_OR_RISK
kenitra,el fath,1,0,0,LOW_OR_RISK
kenitra,el menzeh,1,0,0,LOW_OR_RISK
khemisset,diour chouhada,1,0,0,LOW_OR_RISK
khemisset,hay najah,1,0,0,LOW_OR_RISK
khemisset,hay saada,1,0,0,LOW_OR_RISK
khemisset,hay saada 2,1,0,0,LOW_OR_RISK
khemisset,lot al wafa,1,0,0,LOW_OR_RISK
khemisset,lot boubia,1,0,0,LOW_OR_RISK
khemisset,lot hakamate,1,0,0,LOW_OR_RISK
khemisset,lot tadart,1,0,0,LOW_OR_RISK
khemisset,lot wouroud,1,0,0,LOW_OR_RISK
krifate,krifate,1,1,0,LOW_OR_RISK
ksar bjir,ksar bjir,1,1,0,LOW_OR_RISK
ksar sghir,centre,1,0,1,LOW_OR_RISK
laakarta,laakarta,1,1,0,LOW_OR_RISK
laattaouia ech chaybia,laattaouia ech chaybia,1,1,0,LOW_OR_RISK
laghnimyine,laghnimyine,1,1,0,LOW_OR_RISK
lahsinate,lahsinate,1,1,0,LOW_OR_RISK
lmechrek,lmechrek,1,1,0,LOW_OR_RISK
majjate,majjate,1,1,0,LOW_OR_RISK
marchouch,marchouch,1,1,0,LOW_OR_RISK
marrakech,allal el fassi,1,0,0,LOW_OR_RISK
marrakech,medina,1,0,1,LOW_OR_RISK
marrakech,ounagha,1,0,0,LOW_OR_RISK
marrakech,palmeraie,1,0,0,LOW_OR_RISK
marrakech,route d amizmiz,1,0,0,LOW_OR_RISK
marrakech,saada,1,0,0,LOW_OR_RISK
marrakech,sidi aamara,1,0,0,LOW_OR_RISK
massa,massa,1,1,0,LOW_OR_RISK
mechouar fes jdid,mechouar fes jdid,1,1,0,LOW_OR_RISK
meknassa acharqia,meknassa acharqia,1,1,0,LOW_OR_RISK
meknes,guelmim,1,0,0,LOW_OR_RISK
meknes,hay saada,1,0,0,LOW_OR_RISK
meknes,meknes,1,1,0,LOW_OR_RISK
meknes,riad ismailia,1,0,0,LOW_OR_RISK
mellila,mellila,1,1,0,LOW_OR_RISK
meskala,meskala,1,1,0,LOW_OR_RISK
midar,midar,1,1,0,LOW_OR_RISK
mijik,mijik,1,1,0,LOW_OR_RISK
mogress,mogress,1,1,0,LOW_OR_RISK
mohammedia,derb lfath,1,0,0,LOW_OR_RISK
mohammedia,derb meknes,1,0,0,LOW_OR_RISK
mohammedia,derb rbat,1,0,0,LOW_OR_RISK
mohammedia,hay al wahda,1,0,0,LOW_OR_RISK
mohammedia,l habitat,1,0,0,LOW_OR_RISK
moqrisset,moqrisset,1,1,0,LOW_OR_RISK
moulay driss zerhoun,moulay driss zerhoun,1,1,0,LOW_OR_RISK
nador,el khattabi,1,0,0,LOW_OR_RISK
nador,el kindi,1,0,0,LOW_OR_RISK
nador,nador el jadid,1,0,0,LOW_OR_RISK
nador,ouled lahcen,1,0,0,LOW_OR_RISK
nador,ouled mimoun,1,0,0,LOW_OR_RISK
nador,ouled tayeb,1,0,0,LOW_OR_RISK
oued amlil,oued amlil,1,1,0,LOW_OR_RISK
ouirgane,ouirgane,1,1,0,LOW_OR_RISK
oujda,el firdaws,1,0,0,LOW_OR_RISK
oujda,hay massira,1,0,0,LOW_OR_RISK
oujda,oulfa,1,0,0,LOW_OR_RISK
oujda,zitoune,1,0,0,LOW_OR_RISK
oukaimden,oukaimden,1,1,0,LOW_OR_RISK
oulad gouaouch,oulad gouaouch,1,1,0,LOW_OR_RISK
oulad h cine,oulad h cine,1,1,0,LOW_OR_RISK
oulad hcine,oulad hcine,1,1,0,LOW_OR_RISK
oulad m barek,oulad m barek,1,1,0,LOW_OR_RISK
oulad mtaa,oulad mtaa,1,1,0,LOW_OR_RISK
oulad sbaita,oulad sbaita,1,1,0,LOW_OR_RISK
oulad sbih,oulad sbih,1,1,0,LOW_OR_RISK
oulad si bouhya,oulad si bouhya,1,1,0,LOW_OR_RISK
oulad yaich,oulad yaich,1,1,0,LOW_OR_RISK
rabat,ait kamra,1,0,0,LOW_OR_RISK
rabat,al kouass,1,0,0,LOW_OR_RISK
rabat,asilah,1,0,0,LOW_OR_RISK
rabat,azib haj kaddour,1,0,0,LOW_OR_RISK
rabat,azilal,1,0,0,LOW_OR_RISK
rabat,berkane,1,0,0,LOW_OR_RISK
rabat,bir jdid,1,0,0,LOW_OR_RISK
rabat,bouitate,1,0,0,LOW_OR_RISK
rabat,branes 2,1,0,0,LOW_OR_RISK
rabat,hay al barid,1,0,0,LOW_OR_RISK
rabat,hay bouhlal,1,0,0,LOW_OR_RISK
rabat,hay hassani,1,0,0,LOW_OR_RISK
rabat,inzegan,1,0,0,LOW_OR_RISK
rabat,karrakchou,1,0,0,LOW_OR_RISK
rabat,marjane,1,0,0,LOW_OR_RISK
rabat,martil,1,0,0,LOW_OR_RISK
rabat,ocean,1,0,0,LOW_OR_RISK
rabat,oued zem,1,0,0,LOW_OR_RISK
rabat,saidia,1,0,0,LOW_OR_RISK
rabat,sidi bennour,1,0,0,LOW_OR_RISK
rabat,sidi yahya zaer,1,0,0,LOW_OR_RISK
rabat,skhirat,1,0,0,LOW_OR_RISK
rabat,taghazout,1,0,0,LOW_OR_RISK
rabat,tamesna,1,0,0,LOW_OR_RISK
rabat,tifelt,1,0,0,LOW_OR_RISK
rabat,yacoub el mansour,1,0,0,LOW_OR_RISK
ras tabouda,ras tabouda,1,1,0,LOW_OR_RISK
rass oumlil,rass oumlil,1,1,0,LOW_OR_RISK
rfala,rfala,1,1,0,LOW_OR_RISK
ribat el kheir,ribat el kheir,1,1,0,LOW_OR_RISK
rissana chamalia,rissana chamalia,1,1,0,LOW_OR_RISK
rissana janoubia,rissana janoubia,1,1,0,LOW_OR_RISK
saadla,saadla,1,1,0,LOW_OR_RISK
sabaa aiyoun,sabaa aiyoun,1,1,0,LOW_OR_RISK
sabbah,sabbah,1,1,0,LOW_OR_RISK
saddina,saddina,1,1,0,LOW_OR_RISK
safi,driba lamziwka,1,0,0,LOW_OR_RISK
safi,hay el bouwab,1,0,0,LOW_OR_RISK
safi,hay riyad,1,0,0,LOW_OR_RISK
safi,jnane colonne 1 et 2,1,0,0,LOW_OR_RISK
safi,jnane el mestari,1,0,0,LOW_OR_RISK
safi,m dina k dima l ancienne medina,1,0,0,LOW_OR_RISK
safi,miftah el kheir,1,0,0,LOW_OR_RISK
safi,rhat a rih,1,0,0,LOW_OR_RISK
safi,saaida 1 et 2,1,0,0,LOW_OR_RISK
safi,sania,1,0,0,LOW_OR_RISK
safi,swinia,1,0,0,LOW_OR_RISK
sahel,sahel,1,1,0,LOW_OR_RISK
sal c3 a9,abouab sala,1,0,0,LOW_OR_RISK
sal c3 a9,bled el gharbi,1,0,0,LOW_OR_RISK
sal c3 a9,hay rahma,1,0,0,LOW_OR_RISK
sal c3 a9,sidi abdellah,1,0,0,LOW_OR_RISK
sal c3 a9,sidi hajji,1,0,0,LOW_OR_RISK
sal c3 a9,technopolis,1,0,0,LOW_OR_RISK
sale,achakar,1,0,0,LOW_OR_RISK
sale,al bassatine,1,0,0,LOW_OR_RISK
sale,al fath,1,0,0,LOW_OR_RISK
sale,andalouss,1,0,0,LOW_OR_RISK
sale,bled el gharbi,1,0,0,LOW_OR_RISK
sale,centre,1,0,1,LOW_OR_RISK
sale,dyour nejjar,1,0,0,LOW_OR_RISK
sale,frougui,1,0,0,LOW_OR_RISK
sale,inbiaat,1,0,0,LOW_OR_RISK
sale,kharouba,1,0,0,LOW_OR_RISK
sale,lakhmis,1,0,0,LOW_OR_RISK
sale,lalla aicha,1,0,0,LOW_OR_RISK
sale,lharya,1,0,0,LOW_OR_RISK
sale,malabata,1,0,0,LOW_OR_RISK
sale,marina,1,0,0,LOW_OR_RISK
sale,omar,1,0,0,LOW_OR_RISK
sale,plage oued cherrat,1,0,0,LOW_OR_RISK
sale,plage rose maree,1,0,0,LOW_OR_RISK
sale,polo,1,0,0,LOW_OR_RISK
sale,riyad,1,0,0,LOW_OR_RISK
sale,route de safi,1,0,0,LOW_OR_RISK
sale,secteur touristique,1,0,0,LOW_OR_RISK
sale,sidi bouknadel,1,0,0,LOW_OR_RISK
sale,tanja balia,1,0,0,LOW_OR_RISK
sale,triangle d or,1,0,0,LOW_OR_RISK
settat,hay kilz,1,0,0,LOW_OR_RISK
settat,hensali,1,0,0,LOW_OR_RISK
sidi abdallah,sidi abdallah,1,1,0,LOW_OR_RISK
sidi abed,sidi abed,1,1,0,LOW_OR_RISK
sidi allal lamsadder,sidi allal lamsadder,1,1,0,LOW_OR_RISK
sidi allal tazi,sidi allal tazi,1,1,0,LOW_OR_RISK
sidi bettache,sidi bettache,1,1,0,LOW_OR_RISK
sidi bouhria,sidi bouhria,1,1,0,LOW_OR_RISK
sidi boumoussa,sidi boumoussa,1,1,0,LOW_OR_RISK
sidi lamine,sidi lamine,1,1,0,LOW_OR_RISK
sidi m hamed dalil,sidi m hamed dalil,1,1,0,LOW_OR_RISK
sidi mohamed lahmar,sidi mohamed lahmar,1,1,0,LOW_OR_RISK
sidi smail,sidi smail,1,1,0,LOW_OR_RISK
skhour rhamna,skhour rhamna,1,1,0,LOW_OR_RISK
souk kdim,souk kdim,1,1,0,LOW_OR_RISK
souk l qolla,souk l qolla,1,1,0,LOW_OR_RISK
souk sebt ouled nemma,souk sebt ouled nemma,1,1,0,LOW_OR_RISK
steha,steha,1,1,0,LOW_OR_RISK
sti fadma,sti fadma,1,1,0,LOW_OR_RISK
t c3 a9touan,el matar,1,0,0,LOW_OR_RISK
t c3 a9touan,fnideq,1,0,0,LOW_OR_RISK
t c3 a9touan,inara,1,0,0,LOW_OR_RISK
t c3 a9touan,mdiq,1,0,0,LOW_OR_RISK
t c3 a9touan,tetouan,1,0,0,LOW_OR_RISK
tabant,tabant,1,1,0,LOW_OR_RISK
tabouda,tabouda,1,1,0,LOW_OR_RISK
tadrart,tadrart,1,1,0,LOW_OR_RISK
tafoughalt,tafoughalt,1,1,0,LOW_OR_RISK
tafraout,tafraout,1,1,0,LOW_OR_RISK
tafraouten,tafraouten,1,1,0,LOW_OR_RISK
tagante,tagante,1,1,0,LOW_OR_RISK
taghzirt,taghzirt,1,1,0,LOW_OR_RISK
taliouine,taliouine,1,1,0,LOW_OR_RISK
tamadroust,tamadroust,1,1,0,LOW_OR_RISK
tamanar,tamanar,1,1,0,LOW_OR_RISK
tanant,tanant,1,1,0,LOW_OR_RISK
tanger,ahlan,1,0,0,LOW_OR_RISK
tanger,algerie,1,0,0,LOW_OR_RISK
tanger,bir aharchoune,1,0,0,LOW_OR_RISK
tanger,bouhout 1,1,0,0,LOW_OR_RISK
tanger,boukhalf,1,0,0,LOW_OR_RISK
tanger,el haj el mokhtar,1,0,0,LOW_OR_RISK
tanger,el mers 1,1,0,0,LOW_OR_RISK
tanger,gueznaia,1,0,0,LOW_OR_RISK
tanger,hay zaoudia,1,0,0,LOW_OR_RISK
tanger,view tower,1,0,0,LOW_OR_RISK
taourirt,taourirt,1,1,0,LOW_OR_RISK
temara,centre,1,0,1,LOW_OR_RISK
temara,contrebandier,1,0,0,LOW_OR_RISK
temara,ittihad arabi,1,0,0,LOW_OR_RISK
temara,messrour 2,1,0,0,LOW_OR_RISK
temara,quartier rif ii,1,0,0,LOW_OR_RISK
temara,sable d or,1,0,0,LOW_OR_RISK
tetouan,essania,1,0,0,LOW_OR_RISK
tetouan,rbat asfaa,1,0,0,LOW_OR_RISK
tetouan,touabel,1,0,0,LOW_OR_RISK
tetouan,zaouiat sidi kacem,1,0,0,LOW_OR_RISK
tighassaline,tighassaline,1,1,0,LOW_OR_RISK
timahdite,timahdite,1,1,0,LOW_OR_RISK
touama,touama,1,1,0,LOW_OR_RISK
youssoufia,beni yakhlef,1,0,0,LOW_OR_RISK
youssoufia,tamesna,1,0,0,LOW_OR_RISK
zegzel,zegzel,1,1,0,LOW_OR_RISK
zinat,zinat,1,1,0,LOW_OR_RISK
el jadida,quartier a c3 a9rodrome,24,0,0,SAFE_10
marrakech,arset ihiri,24,0,0,SAFE_10
sale,hay salam,24,0,0,SAFE_10
agadir,zone industrielle agadir,23,0,0,SAFE_10
fes,narjis,23,0,0,SAFE_10
marrakech,arset el houta,23,0,0,SAFE_10
marrakech,zaouiat lahdar,23,0,0,SAFE_10
casablanca,fonciere,22,0,0,SAFE_10
casablanca,zone industrielle,22,0,0,SAFE_10
marrakech,massira 2,22,0,0,SAFE_10
marrakech,michouar,22,0,0,SAFE_10
marrakech,sidi abbad,22,0,0,SAFE_10
mohammedia,la colline,22,0,0,SAFE_10
tanger,beni touzine,22,0,0,SAFE_10
tanger,msala,22,0,0,SAFE_10
benslimane,alfilline,21,0,0,SAFE_10
bouznika,hamza,21,0,0,SAFE_10
casablanca,ahl loghlam hay assalam,21,0,0,SAFE_10
casablanca,al azhar,21,0,0,SAFE_10
casablanca,habbous,21,0,0,SAFE_10
casablanca,liberte,21,0,0,SAFE_10
fes,zouagha,21,0,0,SAFE_10
marrakech,arset el maach,21,0,0,SAFE_10
marrakech,hay lalla haya,21,0,0,SAFE_10
marrakech,massira 3,21,0,0,SAFE_10
nador,selouane,21,0,0,SAFE_10
oujda,lazaret,21,0,0,SAFE_10
el jadida,quartier aerodrome,20,0,0,SAFE_10
essaouira,ghazoua,20,0,0,SAFE_10
marrakech,bab lhmar,20,0,0,SAFE_10
marrakech,el moukef,20,0,0,SAFE_10
oujda,agdal,20,0,0,SAFE_10
oujda,andalous,20,0,0,SAFE_10
oujda,jawhara,20,0,0,SAFE_10
tanger,ain el hayani,20,0,0,SAFE_10
taroudant,assarag,20,0,0,SAFE_10
casablanca,hay albaraka,19,0,0,SAFE_10
casablanca,hay salama,19,0,0,SAFE_10
kenitra,ismalia,19,0,0,SAFE_10
marrakech,route de l 27ourika,19,0,0,SAFE_10
tanger,jirrari,19,0,0,SAFE_10
tanger,mediouna,19,0,0,SAFE_10
taroudant,benyara,19,0,0,SAFE_10
tetouan,route de ceuta,19,0,0,SAFE_10
agadir,ben serguaou,18,0,0,SAFE_10
agadir,talborjt,18,0,0,SAFE_10
agadir,tikiouine,18,0,0,SAFE_10
casablanca,al madina aljadida,18,0,0,SAFE_10
casablanca,hay lmkansa,18,0,0,SAFE_10
el jadida,najmat al janoub,18,0,0,SAFE_10
el jadida,sidi moussa,18,0,0,SAFE_10
f c3 a8s,quartier oued fes,18,0,0,SAFE_10
mohammedia,route de rabat,18,0,0,SAFE_10
mohammedia,zone industrielle,18,0,0,SAFE_10
sale,sidi abdellah,18,0,0,SAFE_10
tanger,casabarata,18,0,0,SAFE_10
casablanca,al osra,17,0,0,SAFE_10
f c3 a8s,fes city center,17,0,0,SAFE_10
fes,champ de course,17,0,0,SAFE_10
kenitra,assam,17,0,0,SAFE_10
marrakech,berrima,17,0,0,SAFE_10
mohammedia,monica,17,0,0,SAFE_10
sale,abouab sala,17,0,0,SAFE_10
skhirat,plage rose mar c3 a9e,17,0,0,SAFE_10
t c3 a9touan,taboula,17,0,0,SAFE_10
tanger,charf,17,0,0,SAFE_10
taroudant,maihta,17,0,0,SAFE_10
agadir,cite adrar,16,0,0,SAFE_10
bouznika,assanaouber,16,0,0,SAFE_10
casablanca,bournazil,16,0,0,SAFE_10
fes,route se sefrou,16,0,0,SAFE_10
marrakech,hay al massar,16,0,0,SAFE_10
marrakech,ouasis,16,0,0,SAFE_10
oujda,hay fath,16,0,0,SAFE_10
sale,bettana,16,0,0,SAFE_10
tanger,branes 1,16,0,0,SAFE_10
agadir,charaf,15,0,0,SAFE_10
agadir,extension dakhla,15,0,0,SAFE_10
casablanca,la vilette,15,0,0,SAFE_10
f c3 a8s,zouagha bas,15,0,0,SAFE_10
fes,talaa,15,0,0,SAFE_10
k c3 a9nitra,bir rami est,15,0,0,SAFE_10
kh c3 a9misset,lot almouna,15,0,0,SAFE_10
marrakech,sanaoubar,15,0,0,SAFE_10
nador,hay el matar,15,0,0,SAFE_10
oujda,boustane,15,0,0,SAFE_10
rabat,el youssoufia,15,0,0,SAFE_10
safi,sidi bouzid,15,0,0,SAFE_10
sal c3 a9,bettana,15,0,0,SAFE_10
skhirat,imarat,15,0,0,SAFE_10
tanger,m c3 a9dina,15,0,0,SAFE_10
tanger,mister khouch,15,0,0,SAFE_10
agadir,hay massira,14,0,0,SAFE_10
casablanca,la floride,14,0,0,SAFE_10
casablanca,les cretes,14,0,0,SAFE_10
casablanca,sidi el khadir,14,0,0,SAFE_10
casablanca,zone industrielle moulay rachid,14,0,0,SAFE_10
el jadida,dar assalam,14,0,0,SAFE_10
f c3 a8s,route immouzer,14,0,0,SAFE_10
marrakech,boukar,14,0,0,SAFE_10
marrakech,jawhar,14,0,0,SAFE_10
marrakech,sidi ghanem,14,0,0,SAFE_10
sal c3 a9,mkinssia,14,0,0,SAFE_10
tanger,al amal,14,0,0,SAFE_10
tetouan,taboula,14,0,0,SAFE_10
agadir,amicales,13,0,0,SAFE_10
casablanca,lekrimat,13,0,0,SAFE_10
essaouira,lahrarta,13,0,0,SAFE_10
essaouira,route d agadir,13,0,0,SAFE_10
fes,mont fleuri,13,0,0,SAFE_10
fes,route de meknes,13,0,0,SAFE_10
ifrane,r c3 a9sidence al arz,13,0,0,SAFE_10
marrakech,essebtiyen,13,0,0,SAFE_10
marrakech,hay alfadl,13,0,0,SAFE_10
sal c3 a9,bab al bahr,13,0,0,SAFE_10
sale,mkinssia,13,0,0,SAFE_10
skhirat,al fath,13,0,0,SAFE_10
tanger,beni makada lakdima,13,0,0,SAFE_10
tanger,el majd,13,0,0,SAFE_10
temara,massira 3,13,0,0,SAFE_10
tetouan,aeroport,13,0,0,SAFE_10
tetouan,kouilma,13,0,0,SAFE_10
casablanca,city dar es salaam,12,0,0,SAFE_10
casablanca,hay moulay rachid 1,12,0,0,SAFE_10
el jadida,plateau,12,0,0,SAFE_10
fes,agdal,12,0,0,SAFE_10
fes,hay bensouda,12,0,0,SAFE_10
k c3 a9nitra,mimosas,12,0,0,SAFE_10
marrakech,bab ighli,12,0,0,SAFE_10
marrakech,hay annahda,12,0,0,SAFE_10
meknes,sidi bouzekri,12,0,0,SAFE_10
oujda,les iris,12,0,0,SAFE_10
rabat,riyad extension,12,0,0,SAFE_10
sal c3 a9,hay moulay ismail,12,0,0,SAFE_10
sale,bab al bahr,12,0,0,SAFE_10
sale,sakani,12,0,0,SAFE_10
sale,technopolis,12,0,0,SAFE_10
skhirat,kasbah,12,0,0,SAFE_10
tanger,bir el ghazi,12,0,0,SAFE_10
tanger,ennasr,12,0,0,SAFE_10
tanger,souani,12,0,0,SAFE_10
agadir,hay najah,11,0,0,SAFE_10
agadir,taddart anza,11,0,0,SAFE_10
casablanca,al farah dar essalam,11,0,0,SAFE_10
casablanca,garage allal,11,0,0,SAFE_10
casablanca,hay alamal,11,0,0,SAFE_10
casablanca,hay alfarah,11,0,0,SAFE_10
