artifact_row_index,source_id,district
166688,6991111,essebtiyen
166689,6991471,centre
166690,6993274,bouskoura ville
166692,6994436,route d agadir essaouira
166693,6995240,anfa superieur
166696,6996728,route de l ourika
166697,6996965,tnine aglou
166698,6997076,jbel kbir
166699,6997977,les hopitaux
166702,7000988,siusse
166703,7002092,riyad
166704,7004497,souissi
166706,7004826,sidi yahya zaer
166707,7004962,gauthier
166708,7005266,founti
166709,7009948,mohammedia
166712,7011325,agdal
166717,7014508,souissi
166718,7014523,souissi
166724,7020075,malabata
166725,7020211,ain diab
166729,7028773,taroudant
166731,7028801,agafay
166732,7029517,les hopitaux
166733,7029528,les hopitaux
166734,7029536,les hopitaux
166736,7029563,mers sultan
166737,7029570,mers sultan
166738,7029591,la gironde
166739,7029956,lahrarta
166740,7030880,ain diab
166746,7035628,malabata
166749,7037165,sala el jadida
166750,7037318,californie
166751,7039235,californie
166753,7040822,hay targa
166754,7042937,riad essalam
166755,7043312,riyad
166757,7045432,route de ouarzazate
166760,7049786,les hopitaux
166762,7050862,route de l ourika
166764,7052704,ville verte
166778,7068719,polo
166779,7070288,gueliz
166783,7072502,californie
166788,7073483,route de safi
166792,7075443,polo
166797,7079427,riyad
166799,7081843,ain diab
166800,7082392,californie
166804,7083186,dar bouazza
166805,7083354,bourgogne ouest
166806,7083370,dar bouazza
166821,7094334,medina
166823,7094366,anfa superieur
166825,7095104,maamora
166829,7096061,quartier des ambassades
166835,7098092,gueliz
166848,7099754,ain diab
166862,7102467,californie
166864,7104483,hay salam
166869,7106331,dar bouazza
166891,7115907,mhamid
166892,7115908,mhamid
166893,7115909,mhamid
166894,7115910,mhamid
166903,7117028,cabo negro
166904,7117656,route de ouarzazate
166919,7121608,riyad
166922,7123162,dar bouazza
166923,7125348,californie
166926,7127399,cil hay salam
166929,7127691,agdal
166930,7127717,mhamid
166937,7132357,les princesses
166938,7132611,ain chock
166941,7133617,hay riad
166942,7133634,riyad
166943,7134152,sidi rahal
166945,7134837,route de fez
166947,7135070,agdal
166955,7138411,dar bouazza
166956,7139102,dar bouazza
166958,7140371,harhoura
166966,7143182,route de l ourika
166967,7143864,sidi bouzid
166970,7144178,route de safi
166973,7145054,californie
166974,7145182,route ain chkaf
166980,7149116,souissi
166982,7149851,route ain chkaf
166983,7150456,gueliz
166984,7152316,agdal
166991,7152806,m diq
166998,7157466,ennakhil palmeraie
167002,7158032,tafoukt
167003,7158243,ennakhil palmeraie
167006,7158907,founti
167009,7163661,la gironde
167010,7163673,la gironde
167011,7164871,californie
167015,7167652,route de ouarzazate
167016,7167983,quartier des ambassades
167018,7169503,dar bouazza
167019,7169867,sidi moussa
167020,7170019,riyad
167021,7170023,sidi yahya zaer
167022,7170088,cil hay salam
167024,7170675,zone industrielle
167027,7171925,achakar
167028,7172868,asilah
167032,7173106,zone industrielle
167035,7173783,bourgogne est
167039,7176105,les hopitaux
167040,7176146,ferme bretonne hay arraha
167042,7177195,sidi belyout
167044,7177329,tanger
167045,7177330,tanger
167051,7178224,la ville haute
167052,7179253,route amizmiz
167054,7180162,ferme bretonne hay arraha
167060,7183119,les chenes
167063,7184913,route amizmiz
167067,7186520,centre ville
167068,7186536,dar assalam
167077,7191519,centre
167079,7191643,racine
167080,7192000,polo
167081,7192152,dar assalam
167084,7193594,agdal
167087,7194684,ouarzazate
167088,7195332,hay mabrouka
167089,7198310,centre
167092,7199791,bouskoura ville
167093,7200420,les hopitaux
167094,7200859,corniche
167095,7200862,corniche
167096,7200863,centre ville
167098,7201275,hay mohammadi
167099,7201449,hay ennasr
167101,7202807,ain chock
167105,7203442,route casablanca
167108,7205338,nouaceur
167109,7205746,rmilat
167110,7205804,route de l ourika
167111,7206162,victoria
167113,7207006,californie
167116,7207678,hay lalla soukaina
167124,7209654,al qods
167127,7211060,route tayret
167128,7211062,medina
167138,7214355,nouvelle ville
167140,7214564,bouskoura ville
167142,7214764,ain diab
167143,7215354,marjane
167144,7215355,marjane
167145,7215357,marjane
167146,7215358,marjane
167147,7215359,marjane
167151,7217377,centre
167152,7217467,route de safi
167155,7217765,dar bouazza
167156,7218981,nouaceur
167160,7220877,racine
167161,7221069,dar bouazza
167163,7221101,maarif
167167,7221628,amelkis
167170,7222671,oulad wjih
167173,7223272,dar bouazza
167175,7223478,fonciere
167178,7224216,casablanca finance city
167180,7224478,entree sud
167185,7225525,sidi maarouf
167186,7225917,route de ouarzazate
167187,7225964,val fleuri
167189,7226498,casablanca
167192,7227693,ville verte
167193,7228071,dar bouazza
167197,7230663,marchan
167198,7231212,berrechid
167200,7231758,route de l ourika
167203,7232245,entree sud
167204,7232507,souissi
167208,7233476,gauthier
167210,7233745,les hopitaux
167211,7233803,bouskoura ville
