source_domain,canonical_url,review_label,review_basis
"daragadir.com","https://daragadir.com/annonces/annonces-immobilieres/location-de-vacances/appartements-pour-location-de-vacances-a-agadir/locations-de-vacances-a-agadir-cite-adrar-appartements-familiaux-4-pieces-a-2-400-dh.html","LISTING","detail hierarchy + transaction + terminal html slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/vvm-142/vente-villa-marrakech-route-ouarzazate.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/allm-1078/location-appartement-marrakech-route-casablanca.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/mv-182/vente-magasin-marrakech-mabrouka.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/ml-245/location-magasin-marrakech-izdihar.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/rvv-71/vente-riad-marrakech-medina.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/trv-311/vente-terrain-marrakech-route-fes.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/mv-155/vente-magasin-marrakech-hivernage.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/trv-599/vente-terrain-marrakech-route-sidi-abdellah-ghiat.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/vvm-108/vente-villa-marrakech-route-fes.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/allm-1074/location-appartement-marrakech-gueliz.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/vlc-37/location-villa-marrakech-route-tahanaout.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/allm-620/location-appartement-marrakech-gueliz.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/ml-89/location-magasin-marrakech-av-moulay-abdallah.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/alc-129/location-sjour-appartement-marrakech-gueliz.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/ml-147/location-magasin-marrakech-smlalia.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/ml-211/location-magasin-marrakech-al-masar.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/cv-112/vente-commerce-marrakech-gueliz.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/mv-191/vente-magasin-marrakech-sidi-ghanem.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/vvv-304/vente-villa-marrakech-route-ourika.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/cv-33/vente-commerce-marrakech-gueliz.html","LISTING","product detail + stable reference + transaction slug"
"promoimmomarrakech.com","https://promoimmomarrakech.com/produit/rvm-91/vente-riad-marrakech-medina.html","LISTING","product detail + stable reference + transaction slug"
